Momentum: Eta=0.01, Lambda=0
  [=======================================>] 100.0%          8818513 function calls (8383423 primitive calls) in 9.911 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   150000    0.066    0.000    0.319    0.000 <__array_function__ internals>:177(around)
      120    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_1d)
       60    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_2d)
       90    0.000    0.000    0.019    0.000 <__array_function__ internals>:177(concatenate)
      100    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(copyto)
      150    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(iscomplexobj)
       80    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
   150000    0.068    0.000    3.224    0.000 <__array_function__ internals>:177(pad)
       11    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(prod)
    30000    0.014    0.000    0.064    0.000 <__array_function__ internals>:177(ravel)
       40    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
   150000    0.056    0.000    0.489    0.000 <__array_function__ internals>:177(round_)
       40    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(shape)
       50    0.000    0.000    0.011    0.000 <__array_function__ internals>:177(sum)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(unique)
       20    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(where)
        2    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    9.932    9.932 <string>:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:112(parse_version)
        2    0.002    0.001    0.002    0.001 __init__.py:170(_array_indexing)
        2    0.000    0.000    0.000    0.000 __init__.py:208(_determine_key_type)
        2    0.000    0.000    0.002    0.001 __init__.py:271(_safe_indexing)
        1    0.000    0.000    0.002    0.002 __init__.py:414(resample)
        1    0.000    0.000    0.000    0.000 __init__.py:557(<listcomp>)
        1    0.000    0.000    0.002    0.002 __init__.py:558(<listcomp>)
        4    0.000    0.000    0.000    0.000 _base.py:1301(isspmatrix)
        2    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
        2    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
   300000    0.058    0.000    0.058    0.000 arraypad.py:109(<genexpr>)
   300000    0.058    0.000    0.058    0.000 arraypad.py:120(<genexpr>)
   120000    0.183    0.000    0.236    0.000 arraypad.py:129(_set_pad_area)
   120000    0.126    0.000    0.184    0.000 arraypad.py:154(_get_edges)
    30000    0.401    0.000    0.455    0.000 arraypad.py:296(_set_reflect_both)
   660000    0.152    0.000    0.152    0.000 arraypad.py:33(_slice_at_axis)
   150000    0.244    0.000    0.853    0.000 arraypad.py:454(_as_pairs)
   150000    0.016    0.000    0.016    0.000 arraypad.py:521(_pad_dispatcher)
   150000    0.535    0.000    3.019    0.000 arraypad.py:529(pad)
   150000    0.065    0.000    0.065    0.000 arraypad.py:58(_view_roi)
   150000    0.386    0.000    0.576    0.000 arraypad.py:86(_pad_simple)
        1    0.000    0.000    0.000    0.000 arraysetops.py:125(_unpack_tuple)
        1    0.000    0.000    0.000    0.000 arraysetops.py:133(_unique_dispatcher)
        1    0.000    0.000    0.000    0.000 arraysetops.py:138(unique)
        1    0.000    0.000    0.000    0.000 arraysetops.py:323(_unique1d)
       40    0.000    0.000    0.000    0.000 contextlib.py:114(__enter__)
       40    0.000    0.000    0.000    0.000 contextlib.py:123(__exit__)
       40    0.000    0.000    0.000    0.000 contextlib.py:261(helper)
       40    0.000    0.000    0.000    0.000 contextlib.py:86(__init__)
        6    0.000    0.000    0.000    0.000 copy.py:258(_reconstruct)
        6    0.000    0.000    0.000    0.000 copy.py:66(copy)
        6    0.000    0.000    0.000    0.000 copyreg.py:94(__newobj__)
       10    0.000    0.000    0.000    0.000 core.py:12(vjp)
       30    0.000    0.000    0.023    0.001 core.py:14(vjp)
       90    0.000    0.000    0.000    0.000 core.py:158(add_outgrads)
       30    0.000    0.000    0.023    0.001 core.py:17(backward_pass)
       90    0.000    0.000    0.001    0.000 core.py:231(vspace)
    15090    0.010    0.000    0.026    0.000 core.py:28(__init__)
       40    0.000    0.000    0.000    0.000 core.py:38(initialize_root)
       30    0.000    0.000    0.000    0.000 core.py:40(<lambda>)
